Date,Close/Last,Volume,Open,High,Low
12/21/2023,$4.524,68337,$4.26,$4.576,$4.18
12/20/2023,$4.20,62265,$4.115,$4.449,$4.109
12/19/2023,$4.155,57066,$4.262,$4.349,$4.08
12/18/2023,$4.236,65794,$4.357,$4.50,$4.20
12/15/2023,$4.27,105551,$4.038,$4.444,$4.001
12/14/2023,$4.001,39147,$3.90,$4.10,$3.90
12/13/2023,$4.098,41103,$4.078,$4.098,$3.713
12/12/2023,$4.063,83586,$3.85,$4.20,$3.7623
12/11/2023,$3.676,63305,$3.90,$4.00,$3.629
12/08/2023,$4.021,27708,$3.95,$4.10,$3.95
12/07/2023,$4.02,63203,$4.10,$4.197,$3.902
12/06/2023,$4.10,93090,$4.104,$4.439,$3.91
12/05/2023,$4.15,73950,$4.449,$4.449,$4.139
12/04/2023,$4.50,165219,$4.00,$4.50,$3.882
12/01/2023,$3.739,107079,$3.362,$3.80,$3.31
11/30/2023,$3.374,32134,$3.59,$3.59,$3.31
11/29/2023,$3.26,198039,$3.18,$3.60,$3.05
11/28/2023,$3.15,52974,$3.06,$3.18,$3.01
11/27/2023,$3.121,31942,$3.17,$3.173,$3.10
11/24/2023,$3.173,12837,$3.15,$3.195,$3.15
11/22/2023,$3.107,25337,$3.07,$3.195,$3.041
11/21/2023,$3.096,35514,$3.10,$3.13,$3.003
11/20/2023,$3.068,24343,$3.117,$3.195,$3.041
11/17/2023,$3.042,39725,$3.049,$3.111,$3.001
11/16/2023,$2.998,31937,$3.03,$3.03,$2.95
11/15/2023,$3.018,50727,$2.908,$3.046,$2.899
11/14/2023,$2.914,56405,$2.949,$3.047,$2.90
11/13/2023,$2.949,110104,$3.301,$3.325,$2.855
11/10/2023,$3.312,26763,$3.48,$3.499,$3.301
11/09/2023,$3.483,23782,$3.408,$3.497,$3.40
11/08/2023,$3.492,21233,$3.486,$3.589,$3.47
11/07/2023,$3.529,13849,$3.50,$3.54,$3.48
11/06/2023,$3.483,25269,$3.75,$3.75,$3.43
11/03/2023,$3.55,33559,$3.63,$3.75,$3.40
11/02/2023,$3.563,26808,$3.434,$3.57,$3.401
11/01/2023,$3.35,58126,$3.40,$3.501,$3.259
10/31/2023,$3.412,64049,$3.60,$3.631,$3.402
10/30/2023,$3.63,37010,$3.868,$3.889,$3.62
10/27/2023,$3.781,18697,$3.729,$3.85,$3.729
